WP_011034341.1;621;621;100;0.0;{0 620};Methanosarcina mazei;DNA topoisomerase VI subunit B
WP_048044944.1;621;621;100;0.0;{0 620};Methanosarcina mazei;DNA topoisomerase VI subunit B
WP_048039796.1;621;621;100;0.0;{0 620};Methanosarcina mazei;DNA topoisomerase VI subunit B
WP_048041104.1;621;621;100;0.0;{0 620};Methanosarcina mazei;DNA topoisomerase VI subunit B
WP_048051081.1;621;621;100;0.0;{0 620};Methanosarcina soligelidi;DNA topoisomerase VI subunit B
WP_048039201.1;621;621;100;0.0;{0 620};Methanosarcina mazei;DNA topoisomerase VI subunit B
WP_048038741.1;621;621;100;0.0;{0 620};Methanosarcina mazei;DNA topoisomerase VI subunit B
WP_048052961.1;621;621;100;0.0;{0 620};Methanosarcina mazei;DNA topoisomerase VI subunit B
AGF97783.1;611;610;100;0.0;{1 610};Methanosarcina mazei Tuc01;DNA topoisomerase VI subunit B
WP_048140977.1;621;621;100;0.0;{0 620};Methanosarcina horonobensis;DNA topoisomerase VI subunit B
WP_048132570.1;621;621;100;0.0;{0 620};Methanosarcina sp. 1.H.T.1A.1;DNA topoisomerase VI subunit B
WP_048169117.1;621;621;100;0.0;{0 620};Methanosarcina sp. 2.H.A.1B.4;DNA topoisomerase VI subunit B
WP_048161493.1;621;621;100;0.0;{0 620};Methanosarcina sp. 1.H.A.2.2;DNA topoisomerase VI subunit B
WP_048124872.1;621;621;100;0.0;{0 620};Methanosarcina lacustris;DNA topoisomerase VI subunit B
WP_048128630.1;621;621;100;0.0;{0 620};Methanosarcina;MULTISPECIES: DNA topoisomerase VI subunit B
WP_048137421.1;621;621;100;0.0;{0 620};Methanosarcina;MULTISPECIES: DNA topoisomerase VI subunit B
WP_048182357.1;621;621;100;0.0;{0 620};Methanosarcina siciliae;DNA topoisomerase VI subunit B
WP_048171932.1;621;621;100;0.0;{0 620};Methanosarcina siciliae;DNA topoisomerase VI subunit B
WP_011021597.1;621;621;100;0.0;{0 620};Methanosarcina acetivorans;DNA topoisomerase VI subunit B
WP_054297646.1;621;620;100;0.0;{0 619};Methanosarcina flavescens;DNA topoisomerase VI subunit B
WP_048107223.1;621;620;100;0.0;{0 619};Methanosarcina barkeri;DNA topoisomerase VI subunit B
OEU41985.1;621;621;100;0.0;{0 620};Methanosarcina sp. Ant1;DNA topoisomerase VI subunit B
WP_095645014.1;621;620;100;0.0;{0 619};Methanosarcina spelaei;DNA topoisomerase VI subunit B
WP_048117745.1;621;620;100;0.0;{0 619};Methanosarcina;MULTISPECIES: DNA topoisomerase VI subunit B
WP_011307748.1;621;621;100;0.0;{0 620};Methanosarcina barkeri;DNA topoisomerase VI subunit B
WP_048166783.1;621;620;100;0.0;{0 619};Methanosarcina thermophila;DNA topoisomerase VI subunit B
WP_048120871.1;621;620;100;0.0;{0 619};Methanosarcina vacuolata;DNA topoisomerase VI subunit B
WP_048156073.1;621;620;100;0.0;{0 619};Methanosarcina sp. Kolksee;DNA topoisomerase VI subunit B
WP_048178165.1;621;621;100;0.0;{0 620};Methanosarcina sp. MTP4;DNA topoisomerase VI subunit B
WP_015054741.1;622;621;100;0.0;{0 620};Methanolobus psychrophilus;DNA topoisomerase VI subunit B
KXS40906.1;620;620;100;0.0;{0 619};Methanolobus sp. T82-4;DNA topoisomerase VI subunit B
WP_048195132.1;622;621;100;0.0;{0 620};Methanococcoides methylutens;DNA topoisomerase VI subunit B
WP_091709710.1;620;620;100;0.0;{0 619};Methanolobus vulcani;DNA topoisomerase VI subunit B
